escalation_rate,roc_auc
0.09291869614087674,0.8523632093263416
0.6589234419882603,0.8523632093263416
0.21880854252529036,0.8523632093263416
0.0036218308979642814,0.8523632093263416
0.7053827900586986,0.8523632093263416
0.30947920569501686,0.8523632093263416
0.2074434869489197,0.8523632093263416
0.550018733608093,0.8523632093263416
0.7372299238166604,0.8523632093263416
0.8681153990258523,0.8523632093263416
0.00799300611964531,0.8523632093263416
0.003746721618583739,0.8523632093263416
0.04146371924566005,0.8523632093263416
0.017110028724865743,0.8523632093263416
0.006619208192831272,0.8523632093263416
0.0033720494567253652,0.8523632093263416
0.2246784063944049,0.8523632093263416
0.0057449731484950665,0.8523632093263416
0.22155613837891844,0.8523632093263416
0.10166104658423879,0.8523632093263416
0.05707505932309229,0.8523632093263416
0.06394404895716248,0.8523632093263416
0.006619208192831272,0.8523632093263416
0.05245410266017235,0.8523632093263416
0.0031222680154864495,0.8523632093263416
0.0024978144123891594,0.8523632093263416
0.07555888597477207,0.8523632093263416
0.047833145997252406,0.8523632093263416
0.014612214312476583,0.8523632093263416
0.007493443237167478,0.8523632093263416
